,Player name,Appearances,Goals,Wins,Losses,Goals,Goals per match,Headed goals,Goals with right foot,Goals with left foot,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Hit woodwork,Big chances missed,Assists,Passes,Passes per match,Big chances created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Tackles,Tackle success %,Blocked shots,Interceptions,Clearances,Headed clearances,Recoveries,Duels won,Duels lost,Succesful 50/50s,Aerial battles won,Aerial battles lost,Errors leading to goal
112,Giulian Biancone,2,0,0,1,0,1,2,50%,0,0,1,0,0,0,5,4,0,0,2,0,0,0,0,18,9.00,0,1,0%,0,1,0,0,0,0,0,0,0,0,0,,
113,Mads Bidstrup,4,0,2,1,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,13,3.25,0,0,0%,0,0,0,0,1,0,1,0%,0,1,2,1,3,1,5,0,0,0,0
114,Mika Biereth,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
115,Philip Billing,92,7,20,53,7,0.08,1,0,6,0,0,95,25,26%,3,2,2,"2,969",32.27,6,95,14%,3,144,19,0,100,8,203,61%,26,147,167,102,463,577,452,54,250,134,1
116,Nathan Bishop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,,,,,,,,,,,,,,,,,
117,Yves Bissouma,126,3,40,50,3,0.02,0,3,0,0,0,115,18,16%,2,3,2,"4,612",36.60,4,24,17%,12,185,30,1,166,2,300,64%,30,176,162,90,693,664,534,169,99,88,1
118,Harvey Blair,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
119,David Boateng,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,
120,Oscar Bobb,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
121,Lamare Bogarde,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
122,Mateusz Bogusz,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
123,Bendegúz Bolla,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,
124,Willy Boly,91,5,34,34,27,108,204,61%,1,11,158,402,241,0,485,566,307,29,303,142,0,0,2,"4,357",47.88,6,2,0%,2,184,7,2,76,5,5,3,1,0,1,,
125,Gaëtan Bong,51,0,11,24,11,73,56,75%,0,0,65,116,53,0,255,155,158,28,54,63,1,1,0,"1,401",27.47,0,116,14%,0,64,2,0,27,0,0,0,0,0,0,,
126,Sven Botman,13,0,8,0,4,8,14,64%,0,3,11,36,16,0,52,42,16,0,26,9,0,0,0,567,43.62,1,0,0%,0,43,0,0,5,0,0,0,0,0,1,,
