Player name,Appearances,Goals Overview,Wins,Losses,Clean sheets,Goals Conceded,Tackles,Tackle success,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big Chances Created,Crosses,Cross accuracy,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Goals,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork
Harry Maguire,207,11,87,73,52,275,255,66%,5,37,326,873,547,1,"1,220","1,234",611,119,708,277,1,3,8,"11,199",54.1,9,39,15%,6,924,46,2,179,19,11,7,4,0,7
Tyrell Malacia,9,0,5,4,2,7,15,73%,0,1,8,13,3,0,27,26,29,2,4,1,0,0,0,214,23.78,0,5,40%,0,5,2,0,13,0,0,0,0,0,0
Javier Manquillo,123,2,35,58,21,149,228,67%,0,4,118,258,109,0,399,479,377,58,116,107,0,0,7,"2,780",22.6,5,197,15%,1,92,20,0,87,12,2,0,2,0,0
Marc Jurado,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Marçal,31,0,15,13,7,23,55,49%,0,5,40,58,35,0,124,118,108,14,37,26,0,0,0,991,31.97,1,73,15%,0,39,5,0,41,1,0,0,0,0,1
Pablo Marí,14,0,7,5,5,12,22,59%,0,1,13,48,27,0,55,64,45,3,36,28,0,0,0,821,58.64,1,0,0%,0,30,3,0,11,0,0,0,0,0,0
Arthur Masuaku,105,1,38,41,17,127,247,61%,0,7,119,170,85,0,564,624,530,215,97,90,0,1,9,"3,328",31.7,10,256,17%,4,146,15,1,90,3,1,0,0,1,0
Joël Matip,130,8,86,11,49,102,200,71%,1,20,180,489,277,2,667,653,316,31,366,161,0,2,5,"8,315",63.96,9,7,7%,10,392,13,0,75,1,8,5,3,0,6
Konstantinos Mavropanos,7,0,3,4,1,4,2,50%,0,0,13,16,10,0,19,13,14,3,6,10,0,0,0,240,34.29,1,0,0%,0,19,1,1,4,0,0,0,0,0,0
Alfie Mawson,80,6,21,42,17,127,72,72%,1,7,84,455,259,1,421,382,230,42,238,147,2,2,1,"3,439",42.99,2,6,17%,2,398,6,0,35,1,6,3,3,0,2
