,"CHALLENGES WON, %",AIR CHALLENGES LOST,AIR CHALLENGES WON,FOULS,YELLOW CARDS,"AIR CHALLENGES, %",ASSISTS,EXPECTED ASSISTS (XA),PASSES INTO FINAL THIRD,CROSSES,"SUCCESSFUL DRIBBLES, %",TACKLES,PASS INTERCEPTIONS,ERRORS LEADING TO GOAL,BLOCKED SHOTS,CLEARANCES,"TACKLES WON, %",PASSES,"PASS COMPLETION, %",PASSING SPEED,GOALS,BIG CHANCES,"CONVERSION OF BIG CHANCES, %",SHOTS ON TARGET,"SHOTS ON TARGET CONVERSION RATE, %",EXPECTED GOALS (XG),GOALS WITH HEAD,XG CONVERSION
100,49.0,1.2,1.04,1.6,0.08,46.0,0.32,0.39,19.7,0.88,67.0,4.16,4.0,0.08,0.32,0.0,50.0,54.13,86.0,1.92,0.16,0.56,29.0,0.72,39.0,0.13,0.0,0.1
101,61.0,0.42,1.52,0.51,0.17,78.0,0.0,0.48,33.26,4.64,67.0,4.14,4.22,0.42,0.17,0.0,55.0,81.14,77.0,1.45,0.08,0.59,43.0,0.0,23.0,0.06,0.0,0.12
102,71.0,0.98,2.44,1.16,0.18,71.0,0.0,0.01,4.95,0.06,75.0,3.05,6.6,0.06,0.31,0.0,68.0,53.34,91.0,1.8,0.06,0.37,17.0,0.0,67.0,0.05,0.06,0.07
103,67.0,1.31,2.47,0.29,0.0,65.0,0.0,0.05,12.92,0.15,100.0,1.31,3.48,0.0,0.29,0.0,78.0,86.66,94.0,2.13,0.0,0.29,0.0,0.0,0.0,0.04,0.0,0.0
104,48.0,1.07,1.85,0.39,0.0,63.0,0.39,0.52,26.37,3.31,43.0,2.14,3.31,0.1,0.19,0.0,59.0,73.07,84.0,1.62,0.0,0.29,0.0,0.0,33.0,0.04,0.0,0.0
105,73.0,1.65,4.02,0.59,0.2,71.0,0.13,0.06,11.68,0.4,85.0,3.96,6.99,0.4,0.66,0.0,72.0,69.08,89.0,1.7,0.07,0.2,33.0,0.0,17.0,0.04,0.0,0.1
106,40.0,0.94,0.84,0.75,0.0,47.0,0.19,0.43,18.77,0.38,52.0,1.31,2.25,0.09,0.19,0.0,50.0,55.18,90.0,2.02,0.19,0.94,20.0,0.56,30.0,0.25,0.0,0.07
107,61.0,2.12,1.53,0.94,0.12,42.0,0.12,0.05,11.56,0.12,100.0,2.83,3.07,0.47,0.12,0.0,67.0,71.25,95.0,1.78,0.0,0.35,0.0,0.0,14.0,0.08,0.0,0.0
108,57.0,1.32,1.5,0.88,0.18,53.0,0.44,0.44,25.08,2.38,50.0,3.44,3.89,0.18,0.18,0.0,67.0,74.72,86.0,1.93,0.0,0.09,0.0,0.0,33.0,0.03,0.0,0.0
109,66.0,2.23,5.9,1.11,0.22,73.0,0.0,0.03,8.13,0.0,0.0,2.0,6.24,0.11,0.78,0.0,67.0,69.5,92.0,2.32,0.11,0.22,50.0,0.0,75.0,0.04,0.11,0.28
110,0.0,0.0,0.2,0.0,0.0,100.0,0.0,0.0,1.12,0.0,0.0,0.0,2.77,0.0,0.0,0.0,0.0,30.88,91.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,47.0,0.72,0.1,0.93,0.0,13.0,0.31,0.4,19.47,1.86,54.0,2.49,2.49,0.1,0.1,0.0,50.0,42.15,82.0,2.71,0.83,3.11,33.0,2.38,59.0,0.51,0.1,0.17
112,50.0,1.14,0.51,1.39,0.13,31.0,0.13,0.49,25.86,3.8,66.0,2.79,2.15,0.13,0.0,0.0,50.0,39.93,76.0,2.86,0.13,0.0,11.0,0.89,32.0,0.25,0.0,0.06
113,43.0,3.25,1.14,0.32,0.0,26.0,0.32,0.45,11.05,0.16,0.0,0.81,1.14,0.0,0.0,0.0,40.0,21.77,82.0,2.75,0.97,1.79,55.0,1.79,79.0,0.5,0.0,0.32
114,45.0,1.49,0.23,0.57,0.23,7.0,0.34,0.43,20.81,2.86,66.0,1.49,1.49,0.23,0.0,0.0,69.0,33.74,76.0,2.71,0.11,0.8,17.0,1.26,58.0,0.16,0.0,0.17
115,70.0,0.97,2.56,0.37,0.12,72.0,0.0,0.05,9.86,0.0,88.0,1.71,4.51,0.0,0.73,0.0,71.0,63.21,95.0,2.58,0.12,0.61,20.0,0.0,43.0,0.16,0.12,0.09
116,37.0,1.63,0.36,0.82,0.09,18.0,0.36,0.4,16.86,0.91,52.0,1.63,1.18,0.0,0.0,0.0,44.0,31.36,87.0,2.1,0.36,1.45,25.0,1.27,37.0,0.6,0.0,0.05
117,48.0,1.19,0.9,1.12,0.0,43.0,0.15,0.36,16.27,2.46,45.0,3.28,3.06,0.07,0.3,0.0,52.0,33.66,83.0,2.1,0.15,0.9,17.0,0.45,25.0,0.23,0.0,0.05
118,68.0,0.42,0.83,1.04,0.1,81.0,0.0,0.02,1.87,0.0,33.0,0.42,3.64,0.21,0.42,0.0,52.0,11.55,88.0,1.43,0.0,0.0,0.0,0.0,50.0,0.01,0.0,0.0
119,43.0,2.21,2.01,1.25,0.21,48.0,0.35,0.49,20.2,2.08,62.0,2.01,4.57,0.07,0.07,0.0,41.0,44.34,80.0,1.51,0.42,1.8,23.0,1.45,57.0,0.46,0.07,0.06
120,53.0,0.52,0.39,0.78,0.26,43.0,0.33,0.35,19.28,1.96,57.0,3.27,3.2,0.2,0.0,0.0,58.0,40.92,83.0,1.86,0.07,0.46,14.0,0.52,50.0,0.13,0.0,0.03
121,49.0,1.08,0.58,1.58,0.17,35.0,0.25,0.2,11.96,1.16,65.0,2.49,2.32,0.08,0.17,0.0,40.0,27.15,80.0,2.38,0.42,1.16,36.0,1.0,60.0,0.2,0.08,0.18
122,54.0,1.6,1.87,1.47,0.4,54.0,0.0,0.19,20.13,2.93,71.0,2.67,4.8,0.4,0.4,0.0,65.0,52.67,82.0,2.97,0.0,0.4,33.0,0.0,25.0,0.02,0.0,0.0
123,44.0,1.43,1.05,1.15,0.1,42.0,0.29,0.51,15.37,1.43,53.0,0.86,1.43,0.1,0.1,0.0,22.0,27.01,76.0,2.87,0.57,2.67,21.0,1.81,50.0,0.61,0.1,0.09
124,69.0,3.03,4.87,0.83,0.18,62.0,0.0,0.09,13.41,0.09,83.0,2.3,6.7,0.28,0.55,0.0,76.0,75.12,89.0,1.52,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
125,42.0,0.67,0.73,0.67,0.07,52.0,0.13,0.15,16.1,0.4,62.0,3.14,3.41,0.33,0.6,0.0,38.0,60.8,91.0,1.51,0.2,0.27,75.0,0.4,40.0,0.07,0.0,0.19
126,82.0,0.58,3.48,0.58,0.0,86.0,0.0,0.0,7.31,0.0,67.0,1.51,5.1,0.35,0.81,0.0,69.0,73.3,93.0,1.57,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0
127,59.0,1.2,2.47,0.88,0.16,67.0,0.16,0.48,13.96,2.95,53.0,2.39,3.51,0.0,0.24,0.0,67.0,35.27,81.0,2.36,0.08,1.04,8.0,0.64,44.0,0.25,0.0,0.03
128,57.0,1.25,1.57,0.94,0.25,56.0,0.13,0.31,19.6,0.75,77.0,3.07,5.2,0.19,0.31,0.0,65.0,50.79,84.0,1.6,0.19,0.94,20.0,0.81,46.0,0.2,0.0,0.06
129,48.0,0.43,0.58,0.72,0.14,57.0,0.29,0.99,33.48,2.75,50.0,3.19,3.91,0.0,0.14,0.14,41.0,53.91,77.0,4.17,0.29,1.16,25.0,0.87,26.0,0.44,0.29,0.1
130,67.0,1.6,1.89,0.95,0.15,54.0,0.07,0.08,12.9,0.07,100.0,2.84,6.34,0.22,0.44,0.0,79.0,66.02,88.0,1.62,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
131,46.0,2.07,0.35,1.21,0.69,14.0,0.17,0.37,22.8,0.69,76.0,1.55,0.86,0.0,0.0,0.0,67.0,40.42,85.0,2.95,0.17,1.21,14.0,0.0,18.0,0.15,0.0,0.2
132,69.0,0.99,2.84,0.99,0.12,74.0,0.0,0.01,4.81,0.0,100.0,1.85,6.53,0.37,0.62,0.0,67.0,37.48,88.0,1.93,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
133,69.0,1.12,3.43,0.53,0.26,75.0,0.0,0.08,11.14,0.33,57.0,1.19,6.73,0.13,0.79,0.0,50.0,46.09,80.0,1.58,0.07,0.53,13.0,0.4,46.0,0.08,0.0,0.05
134,63.0,1.08,0.5,0.5,0.07,32.0,0.07,0.1,13.33,0.0,84.0,4.32,3.31,0.14,0.22,0.0,60.0,61.39,95.0,1.97,0.07,0.07,100.0,0.0,33.0,0.01,0.0,0.4
135,73.0,1.44,2.42,1.17,0.09,63.0,0.0,0.02,6.91,0.18,75.0,1.79,4.94,0.27,1.17,0.09,85.0,50.34,90.0,2.0,0.27,0.27,100.0,0.0,50.0,0.09,0.27,0.27
