Gonzalo Julian Melero Manzanares
Pablo Rosario
Inaki Williams
Federico Baschirotto
Anthony Michael Gordon
Angel Correa
Valentino Lazaro
Jan Oblak
Omar Colley
Domingos Sousa Coutinho Menezes Duarte
Shandon Baptiste
Ionut Radu
Marc Roca
Karim-David Adeyemi
Renan Augusto Lodi dos Santos
Tommaso Pobega
Marlon Santos
Odilon Kossounou
Florian Neuhaus
Grischa Promel
Philippe Coutinho
Kevin Kampl
Giulio Maggiore
Ikoma Lois Openda Ikoma
Mathias Aurelien Autret
Kristoffer Vassbakk Ajer
Julian Marc Jeanvier
Jubal Rocha Mendes Junior
Stanley Pierre N'soki
Isco Isco
Matz Sels
Takefusa Kubo
Jose Pedro Malheiro De Sa
Brian Olivan Herrero
Martin Valjent
Jerdy Schouten
Pedro Bigas
Neto
Iago Amaral Iago
Iddrisu Baba Mohammed
Miguel Gutierrez
Eduardo Exposito Jaen
Aaron Ramsey
Unai Garcia Lugea
Fabio Miretti
Dylan Daniel Mahmoud Bronn
Kasper Schmeichel
Silvan Widmer
Giuseppe Pezzella
Azzedine Ounahi
Marco Richter
Oscar Rodriguez
Mohamed Elyounoussi
Aitor Ruibal Garcia
Josh Thomas Doig
Julien Laporte
Duje Caleta Car
Karim Onisiwo
Joseph Adrian Worrall
Ivan Balliu
Marten Roon
Yoann Salmier
Dominic Solanke
Lewis Cook
Abdu Cadri Conte
Pablo Maffeo
Andre Silva
Arnau Martinez Lopez
Kevin Akpoguma
Lucas Rene Olaza Catrofe
Marco Sportiello
Jose Luis Sanmartin Mato
Dominic Solanke
Lewis Cook
Abdu Cadri Conte
Pablo Maffeo
Andre Silva
Arnau Martinez Lopez
Kevin Akpoguma
Lucas Rene Olaza Catrofe
Marco Sportiello
Jose Luis Sanmartin Mato
Saif Eddine Khaoui
Darko Lazovic
Agustin Maximiliano Rogel Paita
Nicolas Pallois
Janis Jonathan Blaswich
Pablo Fornals
""
Maya Yoshida
Callum Hudson Odoi
Johan Gastien
Jeremy Toljan
Unai Lopez Cabrera
Sergi Gomez
Gerson Santos da Silva
Moses Simon
Samuel Chukwueze
Alban Lafont
Nicolas Gonzalez Iglesias
Pietro Terracciano
Maxime Gonalons
Mauro Arambarri
Yassine Bounou
Alejandro Remiro Gargallo
Rogerio Oliveira da Silva
David Soria
Luis Muriel
Kevin Trapp
Arkadiusz Reca
Lucas Torro Marset
Christian Gross
Charles Aranguiz
Jiri Pavlenka
Mads Roerslev Rasmussen
Marshall Nyasha Munetsi
Yasser Larouci
Tanguy-Austin Nianzou Kouassi
Achraf Dari
Yvon Landry Mvogo
Boubakary Soumare
Romain Del Castillo
Simone Bastoni
Andrej Kramaric
Jackson Gabriel Porozo Vernaza
Martin Braithwaite
Marvin Plattenhardt
Colin Dagba
Kristian Thorstvedt
Maxime Dupe
Matteo Bianchetti
Arnaud Kalimuendo Kalimuendo-Muinga
Franck Honorat
Luca Zanimacchia
Oscar Gil Regano
Koni De Winter
Florian Niederlechner
Joaquin Fernandez Moreno
Kevin Gameiro
